{ice-spirit-ev1, common, 1}
{skeletons-ev1, common, 1}
{bats-ev1, common, 2}
{bomber-ev1, common, 2}
{giant-snowball-ev1, common, 2}
{zap-ev1, common, 2}
{archers-ev1, common, 3}
{cannon-ev1, common, 3}
{firecracker-ev1, common, 3}
{knight-ev1, common, 3}
{mortar-ev1, common, 4}
{tesla-ev1, common, 4}
{barbarians-ev1, common, 5}
{royal-giant-ev1, common, 6}
{royal-recruits-ev1, common, 7}
{dart-goblin-ev1, rare, 3}
{battle-ram-ev1, rare, 4}
{goblin-cage-ev1, rare, 4}
{musketeer-ev1, rare, 4}
{valkyrie-ev1, rare, 4}
{wizard-ev1, rare, 5}
{wall-breakers-ev1, epic, 2}
{goblin-barrel-ev1, epic, 3}
{goblin-drill-ev1, epic, 4}
{hunter-ev1, epic, 4}
{electro-dragon-ev1, epic, 5}
{goblin-giant-ev1, epic, 6}
{pekka-ev1, epic, 7}
{lumberjack-ev1, legendary, 4}
{mega-knight-ev1, legendary, 7}
{electro-spirit, common, 1}
{fire-spirit, common, 1}
{ice-spirit, common, 1}
{skeletons, common, 1}
{bats, common, 2}
{berserker, common, 2}
{bomber, common, 2}
{giant-snowball, common, 2}
{goblins, common, 2}
{spear-goblins, common, 2}
{zap, common, 2}
{archers, common, 3}
{arrows, common, 3}
{cannon, common, 3}
{firecracker, common, 3}
{goblin-gang, common, 3}
{knight, common, 3}
{minions, common, 3}
{royal-delivery, common, 3}
{skeleton-barrel, common, 3}
{mortar, common, 4}
{skeleton-dragons, common, 4}
{tesla, common, 4}
{bandit, common, 5}
{barbarians, common, 5}
{minion-horde, common, 5}
{rascals, common, 5}
{elite-barbarians, common, 6}
{royal-giant, common, 6}
{royal-recruits, common, 7}
{heal-spirit, rare, 1}
{ice-golem, rare, 2}
{suspicious-bush, rare, 2}
{dart-goblin, rare, 3}
{earthquake, rare, 3}
{elixir-golem, rare, 3}
{mega-minion, rare, 3}
{tombstone, rare, 3}
{battle-healer, rare, 4}
{battle-ram, rare, 4}
{bomb-tower, rare, 4}
{fireball, rare, 4}
{flying-machine, rare, 4}
{furnace, rare, 4}
{goblin-cage, rare, 4}
{goblin-demolisher, rare, 4}
{hog-rider, rare, 4}
{mini-pekka, rare, 4}
{musketeer, rare, 4}
{valkyrie, rare, 4}
{zappies, rare, 4}
{giant, rare, 5}
{goblin-hut, rare, 5}
{inferno-tower, rare, 5}
{royal-hogs, rare, 5}
{wizard, rare, 5}
{elixir-collector, rare, 6}
{rocket, rare, 6}
{barbarian-hut, rare, 7}
{three-musketeers, rare, 9}
{mirror, epic, 0}
{barbarian-barrel, epic, 2}
{goblin-curse, epic, 2}
{rage, epic, 2}
{wall-breakers, epic, 2}
{clone, epic, 3}
{goblin-barrel, epic, 3}
{guards, epic, 3}
{skeleton-army, epic, 3}
{tornado, epic, 3}
{void, epic, 3}
{baby-dragon, epic, 4}
{dark-prince, epic, 4}
{freeze, epic, 4}
{goblin-drill, epic, 4}
{hunter, epic, 4}
{poison, epic, 4}
{rune-giant, epic, 4}
{balloon, epic, 5}
{bowler, epic, 5}
{cannon-cart, epic, 5}
{electro-dragon, epic, 5}
{executioner, epic, 5}
{prince, epic, 5}
{witch, epic, 5}
{giant-skeleton, epic, 6}
{goblin-giant, epic, 6}
{lightning, epic, 6}
{x-bow, epic, 6}
{electro-giant, epic, 7}
{pekka, epic, 7}
{golem, epic, 8}
{the-log, legendary, 2}
{bandit, legendary, 3}
{fisherman, legendary, 3}
{ice-wizard, legendary, 3}
{miner, legendary, 3}
{princess, legendary, 3}
{royal-ghost, legendary, 3}
{electro-wizard, legendary, 4}
{inferno-dragon, legendary, 4}
{lumberjack, legendary, 4}
{magic-archer, legendary, 4}
{mother-witch, legendary, 4}
{night-witch, legendary, 4}
{phoenix, legendary, 4}
{goblin-machine, legendary, 5}
{graveyard, legendary, 5}
{ram-rider, legendary, 5}
{sparky, legendary, 6}
{lava-hound, legendary, 7}
{mega-knight, legendary, 7}
{little-prince, champion, 3}
{golden-knight, champion, 4}
{mighty-miner, champion, 4}
{skeleton-king, champion, 4}
{archer-queen, champion, 5}
{goblinstein, champion, 5}
{monk, champion, 5}
